twitter_uid,ght_uid
2200798573,8407545
13886162,131034
59388797,114299
819788603622445056,1315492
127364996,1577613
1288334114,691152
967244866504638464,737973
1279756028,1417989
261548171,892665
554684932,5900900
1586287170,1465785
50214745,63584
719573216549806082,3606575
2890022617,6373539
373742589,26042
564117368,8363907
1926828414,7666876
8217182,436
4589511,1353261
30363907,982673
137111255,414807
235396478,6818434
2467161684,1253066
278363568,119469
14344284,167722
15316353,888282
49305583,696592
15467458,24131
6398802,6583358
132203530,2195759
2930615380,1078227
126412061,1537247
21161219,47859
14435135,570079
10972112,6607618
382139732,2484986
15670345,114405
12054982,803963
362431938,238992
8768182,1817009
4451098467,1439000
2788009620,4471380
132423972,7926865
49706633,6442934
14122568,173806
2581446936,5408683
2584435658,455034
157756365,598795
1560706231,7965183
18818219,959947
29537269,6464717
162971133,66505
842520310226198528,207700
14132210,635798
541179754,541939
2866416466,6250080
16966460,3158728
120038599,940602
16737188,1726756
31241711,631628
19333924,2428340
247221187,6446
231445532,26554
6150422,433175
14888753,245783
17796491,4043155
142507295,2606388
1486980656,6479606
310050756,27480
11632732,8611991
107263574,252482
476766383,131801
29941616,229750
16631944,853209
2193997884,12272671
52011111,387338
366638446,1232440
2239775923,2516883
6897812,12847
927671514,50181
52700119,379504
14163024,70801
296054835,919501
337856799,888983
18138503,1679166
401625740,190313
4664606516,7736217
326283411,118777
1218634614,162745
179591090,759211
102849465,20021
257765996,2334765
138556202,966806
252117042,1111642
22003269,132470
186771765,9678908
18825887,55674
10702,37588
1081325768,13340182
13395012,252628
229372926,55206
234455065,2006192
43171127,64014
98503046,39773
16961966,1042999
42675372,3428865
38836603,140932
29248428,3135077
1289230610,200642
10882932,625701
78051638,385794
17425835,72715
16925909,1205278
14878310,1270015
37173317,1164561
13826102,24141
10812812,1194345
400982548,922967
16693033,4409419
2218156861,7800447
1505961,24529
2998173158,5064540
58743153,53934
43054063,155753
901792351,37527
110821161,1383681
13355162,116172
15092452,17400
205662967,5745291
14464556,276281
139963227,712469
15222726,869215
3271955844,8687856
199827822,392957
326858552,6396163
16258572,3798770
245064328,230047
996997159,11145438
22881502,9227916
612062102,3368135
3169396835,2765090
2751391,100818
961949478193418241,682331
1034132742819049472,7938838
50419045,115981
1129146840,1312951
108894644,209803
17629743,205525
167045963,7624251
94690043,7245119
387940559,117829
99588263,1805982
87515498,1444559
29315623,1314137
3131253471,7687929
933323758919589888,1305735
979660750254829569,9042899
81797501,1440145
179936090,59305
39818115,219841
1288969765,221341
16258680,1370034
1259553872,11056541
371893033,937405
889226593058643968,1416124
132469831,1774
15083358,155680
3247030870,40254
749156293802397696,13326986
604532073,1843467
361495915,6342857
28964807,1747257
13452922,501489
15720645,141446
460957319,1215910
21172341,820249
7634742,1701
16651526,816964
3075414729,6534498
14583736,77593
5641702,13362
267774260,7282106
2927281,1153648
258782214,8225766
775054334988083202,30958911
292062005,1785119
40083214,23345
25623955,542328
148959363,8729041
858958460607660033,671071
84195959,6906970
1662695978,8257729
1654188770,2878088
936982924968255488,10391636
561892962,6142800
758585047,510366
40526875,1930116
19150567,275073
552951614,83714
565585638,2820613
18447641,71927
287775200,2501178
15847700,117685
25549086,148785
17127143,61451
42800971,1270876
580214226,1883014
1124772746,483943
61074651,34324
222608598,2606742
7474622,832194
1011650777520017408,13692036
58022570,7889033
44423,113870
74730980,2125684
96525830,1208243
2349251,129568
197891994,1365370
22168705,2519025
23515941,120113
